date,steps
2010-07-26,7120
2010-07-27,12647
2010-07-28,7130
2010-07-29,8499
2010-07-30,9823
2010-07-31,10325
2010-08-01,11707
2010-08-02,11643
2010-08-03,11121
2010-08-04,7436
2010-08-05,5312
2010-08-06,9140
2010-08-07,4921
2010-08-08,10702
2010-08-09,12802
2010-08-10,6626
2010-08-11,3241
2010-08-12,15923
2010-08-13,11998
2010-08-14,20324
2010-08-15,11439
2010-08-16,9387
2010-08-17,7031
2010-08-18,8770
2010-08-19,6750
2010-08-20,3748
2010-08-21,9652
2010-08-22,16278
2010-08-23,7728
2010-08-24,7726
2010-08-25,9819
2010-08-26,7430
2010-08-27,4670
2010-08-28,10589
2010-08-29,5818
2010-08-30,7636
2010-08-31,7427
2010-09-01,2211
2010-09-02,11374
2010-09-03,8110
2010-09-04,8890
2010-09-05,7632
2010-09-06,9387
2010-09-07,7397
2010-09-08,2419
2010-09-09,7960
2010-09-10,12378
2010-09-11,7953
2010-09-12,2338
2010-09-13,6541
2010-09-14,2996
2010-09-15,6580
2010-09-16,3401
2010-09-17,7653
2010-09-18,8952
2010-09-19,3182
2010-09-20,5665
2010-09-21,7435
2010-09-22,7114
2010-09-23,2416
2010-09-24,7125
2010-09-25,5121
2010-09-26,8599
2010-09-27,6599
2010-09-28,3323
2010-09-29,11793
2010-09-30,4525
2010-10-01,6941
2010-10-02,9780
2010-10-03,5979
2010-10-04,3538
2010-10-05,4186
2010-10-06,2409
2010-10-07,6617
2010-10-08,3871
2010-10-09,3021
2010-10-10,9164
2010-10-11,6017
2010-10-12,6400
2010-10-13,13821
2010-10-14,7450
2010-10-15,3601
2010-10-16,5399
2010-10-17,6066
2010-10-18,6282
2010-10-19,10207
2010-10-20,9664
2010-10-21,6889
2010-10-22,7223
2010-10-23,9478
2010-10-24,11419
2010-10-25,7634
2010-10-26,2569
2010-10-27,9638
2010-10-28,6642
2010-10-29,9903
2010-10-30,9069
2010-10-31,12141
2010-11-01,9397
2010-11-02,8682
2010-11-03,11494
2010-11-04,10676
2010-11-05,7766
