"xcoord","ycoord","lon","lat"
1030708,194185,-73.8324524868,40.6995477472
1021302,213563,-73.8662678137,40.7527799629
1037668,153549,-73.8076735744,40.5879716817
1051507,160090,-73.7577826805,40.6058311354
995824,172912,-73.95829566,40.6412725104
1010711,179162,-73.9046291713,40.6583954285
1012873,254829,-73.8965147063,40.8660748991
998940,228642,-73.9469462259,40.7942332889
1012795,180734,-73.897111363,40.6627037461
999539,239499,-73.9447581762,40.8240317234
991335,192891,-73.974449776,40.696115133
1000710,226718,-73.9405584868,40.7889493088
998984,228715,-73.9467871573,40.7944335808
959968,171859,-74.0874909852,40.638356529
1047709,156466,-73.7714946641,40.5959120363
999643,228852,-73.9444068206,40.7948084853
0,0,-77.5195843717,40.1123852975
1011982,239520,-73.8997993904,40.8240590604
996546,187436,-73.9556676078,40.6811367071
995181,175327,-73.9606086543,40.6479019814
992050,191833,-73.9718725383,40.6932105671
1041696,190608,-73.7928556758,40.6896652308
1016400,217406,-73.8839422561,40.7633471888
1020697,212281,-73.8684583918,40.7492637153
1019245,212080,-73.8736998731,40.748717887
1029463,150591,-73.8372346108,40.5798982219
985145,203571,-73.9967709937,40.7254319869
1010462,212529,-73.9053967373,40.7499806746
1009902,184191,-73.907525835,40.6722012902
1029890,214523,-73.835264602,40.7553747575
1007579,183413,-73.9159028199,40.6700722817
1006150,238054,-73.920876207,40.8200516917
1012615,181279,-73.8977578681,40.6642002279
1001577,234452,-73.9374075593,40.8101753656
1013924,184237,-73.893026539,40.6723149821
1051989,157907,-73.7560687218,40.5998355963
997396,227954,-73.9525238156,40.7923473468
1012706,241820,-73.8971736979,40.8303695973
1047413,156800,-73.7725573835,40.5968309102
990633,192242,-73.9769819727,40.6943343128
995201,177258,-73.9605334464,40.6532021316
1013358,251133,-73.8947772617,40.8559289137
996630,238411,-73.9552709059,40.821050028
1007814,241775,-73.9148511796,40.8302604919
1012899,242796,-73.8964721212,40.8330478111
1036423,191312,-73.811864054,40.6916301986
996638,237956,-73.9552428417,40.8198011703
987772,191476,-73.9872995555,40.6922334211
1015610,237678,-73.8866994083,40.8189911596
1017554,214784,-73.8797894452,40.7561462055
1001200,185057,-73.9388939152,40.6745992031
1002271,229536,-73.9349137342,40.7966809107
999856,234503,-73.9436244177,40.8103185541
987416,201469,-73.9885786044,40.7196619839
1003733,230058,-73.929631931,40.7981105558
998368,228659,-73.9490120004,40.7942808816
983206,196443,-74.0037654673,40.7058673163
1013376,181426,-73.895014198,40.6646012393
1034837,237730,-73.817233922,40.8190447025
998679,230867,-73.9478840612,40.8003407379
1018475,211969,-73.876479434,40.748416234
1031907,215349,-73.8279785004,40.7576312712
962873,174172,-74.0770312531,40.644712703
1008352,243611,-73.9129005141,40.8352983293
1007888,183448,-73.9147888041,40.6701675292
